algorytm,reprezentacja,rozmiar,gestosc,powtorzenie,czas(ms),koszt
Prim,Matrix,400,0.25,0,24.092,774
Prim,List,400,0.25,0,2.219,704
Kruskal,Matrix,400,0.25,0,1.266,774
Kruskal,List,400,0.25,0,1.862,704
Dijkstra,Matrix,400,0.25,0,33.964,11554
Dijkstra,List,400,0.25,0,2.026,7581
BellmanFord,Matrix,400,0.25,0,39.153,11554
BellmanFord,List,400,0.25,0,37.476,7581
Prim,Matrix,400,0.25,1,19.03,694
Prim,List,400,0.25,1,2.174,742
Kruskal,Matrix,400,0.25,1,1.245,694
Kruskal,List,400,0.25,1,1.91,742
Dijkstra,Matrix,400,0.25,1,30.951,2203
Dijkstra,List,400,0.25,1,1.771,3368
BellmanFord,Matrix,400,0.25,1,36.193,2203
BellmanFord,List,400,0.25,1,37.112,3368
Prim,Matrix,400,0.25,2,18.41,760
Prim,List,400,0.25,2,2.126,690
Kruskal,Matrix,400,0.25,2,1.272,760
Kruskal,List,400,0.25,2,2.185,690
Dijkstra,Matrix,400,0.25,2,31.036,3055
Dijkstra,List,400,0.25,2,4.64,2943
BellmanFord,Matrix,400,0.25,2,45.444,3055
BellmanFord,List,400,0.25,2,37.09,2943
Prim,Matrix,400,0.25,3,19.324,724
Prim,List,400,0.25,3,2.103,718
Kruskal,Matrix,400,0.25,3,1.268,724
Kruskal,List,400,0.25,3,2.192,718
Dijkstra,Matrix,400,0.25,3,31.378,4686
Dijkstra,List,400,0.25,3,2.188,5931
BellmanFord,Matrix,400,0.25,3,37.573,4686
BellmanFord,List,400,0.25,3,38.45,5931
Prim,Matrix,400,0.25,4,20.064,720
Prim,List,400,0.25,4,2.185,745
Kruskal,Matrix,400,0.25,4,1.282,720
Kruskal,List,400,0.25,4,2.186,745
Dijkstra,Matrix,400,0.25,4,31.817,2955
Dijkstra,List,400,0.25,4,1.843,5000
BellmanFord,Matrix,400,0.25,4,36.158,2955
BellmanFord,List,400,0.25,4,37.721,5000
Prim,Matrix,400,0.25,5,20.843,692
Prim,List,400,0.25,5,2.42,706
Kruskal,Matrix,400,0.25,5,1.872,692
Kruskal,List,400,0.25,5,2.041,706
Dijkstra,Matrix,400,0.25,5,34.929,4355
Dijkstra,List,400,0.25,5,2.108,3904
BellmanFord,Matrix,400,0.25,5,38.798,4355
BellmanFord,List,400,0.25,5,39.888,3904
Prim,Matrix,400,0.25,6,19.692,722
Prim,List,400,0.25,6,2.288,694
Kruskal,Matrix,400,0.25,6,1.345,722
Kruskal,List,400,0.25,6,2.058,694
Dijkstra,Matrix,400,0.25,6,31.993,6673
Dijkstra,List,400,0.25,6,1.975,4794
BellmanFord,Matrix,400,0.25,6,36.778,6673
BellmanFord,List,400,0.25,6,38.119,4794
Prim,Matrix,400,0.25,7,18.555,716
